Team,Games,Win-Loss,Off Rank,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Passing Off Rank,Pass Attempts,Pass Completions,Interceptions Thrown.x,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Rushing Def Rank,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Rushing Off Rank,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Scoring Def Rank,Points Allowed,Avg Points per Game Allowed,Total Points,Points Per Game,Turnover Margin
UCLA (Pac-12),12,8-Apr,65,916,4868,5.31,40,405.7,113,816,5475,6.71,53,55,456.3,42,426,260,12,3066,7.2,11.79,22,255.5,129,269,405,3729,32,9.21,13.86,310.8,52,411,1746,4.25,21,145.5,81,490,1802,3.68,18,150.2,116,417,34.8,320,26.7,-8
UConn (AAC),12,10-Feb,108,810,4136,5.11,27,344.7,116,800,5602,7,62,67,466.8,81,382,228,15,2592,6.79,11.37,14,216,93,219,343,2919,28,8.51,13.33,243.3,123,457,2683,5.87,34,223.6,108,428,1544,3.61,13,128.7,128,486,40.5,227,18.9,-8
UNLV (Mountain West),12,8-Apr,92,831,4492,5.41,37,374.3,105,848,5308,6.26,44,49,442.3,88,388,208,12,2474,6.38,11.89,20,206.2,104,245,413,3074,16,7.44,12.55,256.2,92,435,2234,5.14,28,186.2,58,443,2018,4.56,17,168.2,108,396,33,290,24.2,-4
Utah (Pac-12),14,3-Nov,48,912,6006,6.59,54,429,2,813,3769,4.64,25,25,269.2,69,321,233,4,3187,9.93,13.68,20,227.6,13,247,436,2624,16,6.02,10.62,187.4,3,377,1145,3.04,9,81.8,32,591,2819,4.77,34,201.4,6,210,15,452,32.3,9
Utah St. (Mountain West),13,6-Jul,44,965,5607,5.81,40,431.3,103,1016,5727,5.64,49,53,440.5,31,504,315,18,3628,7.2,11.52,22,279.1,86,241,405,3102,20,7.66,12.87,238.6,110,611,2625,4.3,29,201.9,73,461,1979,4.29,18,152.2,90,399,30.7,380,29.2,-2
UTEP (C-USA),12,11-Jan,116,768,3950,5.14,27,329.2,95,765,5170,6.76,52,54,430.8,104,330,177,8,2292,6.95,12.95,9,191,70,218,334,2755,27,8.25,12.64,229.6,108,431,2415,5.6,25,201.3,96,438,1658,3.79,18,138.2,119,431,35.9,235,19.6,-4
UTSA (C-USA),12,8-Apr,107,819,4139,5.05,28,344.9,92,790,5149,6.52,49,51,429.1,106,366,213,11,2189,5.98,10.28,13,182.4,73,215,339,2770,21,8.17,12.88,230.8,105,451,2379,5.27,28,198.3,64,453,1950,4.3,15,162.5,112,407,33.9,244,20.3,-6
Vanderbilt (SEC),12,9-Mar,123,744,3592,4.83,21,299.3,101,798,5239,6.57,48,50,436.6,115,381,202,10,2064,5.42,10.22,10,172,66,200,325,2734,23,8.41,13.67,227.8,115,473,2505,5.3,25,208.8,111,363,1528,4.21,11,127.3,95,381,31.8,198,16.5,-2
Virginia (ACC),14,5-Sep,81,962,5445,5.66,51,388.9,48,906,5206,5.75,46,48,371.9,33,520,337,15,3748,7.21,11.12,23,267.7,78,231,409,3272,23,8,14.16,233.7,40,497,1934,3.89,23,138.1,117,442,1697,3.84,28,121.2,62,380,27.1,449,32.1,-3
Virginia Tech (ACC),13,5-Aug,86,883,5007,5.67,46,385.2,42,898,4723,5.26,39,41,363.3,86,318,185,8,2718,8.55,14.69,24,209.1,63,238,441,2912,21,6.6,12.24,224,46,457,1811,3.96,18,139.3,49,565,2289,4.05,22,176.1,46,321,24.7,401,30.8,-4
Wake Forest (ACC),13,5-Aug,15,1055,6032,5.72,49,464,84,936,5414,5.78,42,47,416.5,24,469,282,13,3748,7.99,13.29,31,288.3,101,270,434,3286,26,7.57,12.17,252.8,74,502,2128,4.24,16,163.7,50,586,2284,3.9,18,175.7,76,378,29.1,414,31.8,8
Washington (Pac-12),13,5-Aug,79,872,5086,5.83,48,391.2,35,887,4532,5.11,28,30,348.6,57,411,263,8,3164,7.7,12.03,24,243.4,56,288,456,2889,13,6.34,10.03,222.2,28,431,1643,3.81,15,126.4,84,461,1922,4.17,24,147.8,15,252,19.4,416,32,8
Washington St. (Pac-12),13,7-Jun,7,920,6568,7.14,62,505.2,111,886,5882,6.64,50,53,452.5,1,710,505,16,5683,8,11.25,50,437.2,114,250,398,3471,23,8.72,13.88,267,91,488,2411,4.94,27,185.5,129,210,885,4.21,12,68.1,93,408,31.4,491,37.8,-6
West Virginia (Big 12),12,7-May,119,788,3863,4.9,28,321.9,74,874,4792,5.48,40,43,399.3,54,454,289,15,2984,6.57,10.33,21,248.7,88,233,372,2879,20,7.74,12.36,239.9,69,502,1913,3.81,20,159.4,128,334,879,2.63,7,73.3,73,346,28.8,247,20.6,-6
Western Ky. (C-USA),13,4-Sep,84,900,5041,5.6,38,387.8,24,835,4361,5.22,28,32,335.5,40,469,313,12,3371,7.19,10.77,20,259.3,28,193,362,2599,17,7.18,13.47,199.9,34,473,1762,3.73,11,135.5,109,431,1670,3.87,18,128.5,22,261,20.1,330,25.4,-6
Western Mich. (MAC),13,6-Jul,25,916,5794,6.33,56,445.7,87,932,5456,5.85,39,40,419.7,59,413,246,8,3128,7.57,12.72,21,240.6,85,290,434,3095,21,7.13,10.67,238.1,89,498,2361,4.74,18,181.6,28,503,2666,5.3,35,205.1,50,337,25.9,430,33.1,8
Wisconsin (Big Ten),14,4-Oct,38,963,6065,6.3,56,433.2,4,839,4020,4.79,29,30,287.1,96,351,246,5,2802,7.98,11.39,18,200.1,12,214,415,2623,18,6.32,12.26,187.4,6,424,1397,3.29,11,99.8,15,612,3263,5.33,38,233.1,10,237,16.9,477,34.1,0
Wyoming (Mountain West),13,5-Aug,106,831,4562,5.49,38,350.9,43,941,4729,5.03,25,25,363.8,123,256,120,9,1770,6.91,14.75,11,136.2,105,266,464,3337,15,7.19,12.55,256.7,11,477,1392,2.92,10,107.1,23,575,2792,4.86,27,214.8,11,231,17.8,330,25.4,5
